x,y,order
155,5,785
154,5,786
153,5,787
152,5,788
151,5,789
150,5,790
149,5,791
148,5,792
147,5,793
146,5,794
145,5,795
144,5,796
143,5,797
142,5,798
141,5,799
140,5,800
139,5,801
138,5,802
137,5,803
136,5,804
135,5,805
134,5,806
133,5,807
132,5,808
131,5,809
130,5,810
129,5,811
128,5,812
127,5,813
126,5,814
125,5,815
124,5,816
123,5,817
122,5,818
121,5,819
120,5,820
119,5,821
118,5,822
117,5,823
116,5,824
115,5,825
114,5,826
113,5,827
112,5,828
111,5,829
110,5,830
109,5,831
108,5,832
107,5,833
106,5,834
105,5,835
104,5,836
103,5,837
102,5,838
101,5,839
100,5,840
99,5,841
98,5,842
97,5,843
96,5,844
95,5,845
94,5,846
93,5,847
92,5,848
91,5,849
90,5,850
89,5,851
88,5,852
87,5,853
86,5,854
85,5,855
84,5,856
83,5,857
82,5,858
81,5,859
80,5,860
79,5,861
78,5,862
77,5,863
76,5,864
75,5,865
74,5,866
73,5,867
72,5,868
71,5,869
70,5,870
69,5,871
68,5,872
67,5,873
66,5,874
65,5,875
64,5,876
63,5,877
62,5,878
61,5,879
60,5,880
59,5,881
58,4,882
57,5,883
57,6,884
58,7,885
58,8,886
58,9,887
58,10,888
58,11,889
58,12,890
58,13,891
58,14,892
58,15,893
59,16,894
59,17,895
59,18,896
59,19,897
59,20,898
59,21,899
59,22,900
59,23,901
59,24,902
59,25,903
59,26,904
59,27,905
59,28,906
60,29,907
60,30,908
60,31,909
60,32,910
60,33,911
60,34,912
60,35,913
60,36,914
60,37,915
60,38,916
60,39,917
60,40,918
60,41,919
59,42,920
59,43,921
59,44,922
59,45,923
59,46,924
59,47,925
59,48,926
59,49,927
58,50,928
58,51,929
58,52,930
58,53,931
57,54,932
57,55,933
57,56,934
56,57,935
56,58,936
55,59,937
55,60,938
54,61,939
53,62,940
52,63,941
51,64,942
50,65,943
49,66,944
48,66,945
47,67,946
46,67,947
45,68,948
44,68,949
43,68,950
42,69,951
41,69,952
40,69,953
39,69,954
38,69,955
37,68,956
36,68,957
35,67,958
34,66,959
33,66,960
32,65,961
31,64,962
30,63,963
30,62,964
29,61,965
29,60,966
28,59,967
27,59,968
26,58,969
25,58,970
24,58,971
23,58,972
22,59,973
21,59,974
20,60,975
19,61,976
18,62,977
18,63,978
17,64,979
17,65,980
16,66,981
15,67,982
15,68,983
15,69,984
14,70,985
14,71,986
13,72,987
13,73,988
13,74,989
12,75,990
12,76,991
12,77,992
11,78,993
11,79,994
11,80,995
11,81,996
11,82,997
